Nipsey Hussle,Hussle & Motivate by Nipsey Hussle,https://genius.com/Nipsey-hussle-hussle-and-motivate-lyrics," Pull up in motorcades,  I got a show today This all  I'm tryna do, hustle and motivate Choppers a throwaway, hustle the  Hova way That's why they follow me, huh?  They think  I know the way' Cause  I took control of things, ballin' the solo way And if you pattern my trend,  I make you my protege Slauson  Ave soldier raised, niggas don't know them days Take you in back of the buildings, make you expose your age Take you across the tracks, make you explode a face Now you official now, but you got a soul to save I just been cookin' that new,  I'm 'bout to drop in a few Think if  I call it the great, the people gon' call it the truth Ain't really trip on the credit,  I just paid all of my dues I just respected the game, now my name all in the news Trippin' on all of my moves, quote me on this, got a lot more to prove Remember  I came in this bitch fresh out the county with nothin' to lose And  I don't do this for nothin', nah, from the ground up, yeah But  I don't do this shit for nothin', no, no, not at all, yeah My mama need rent, ma need rent, yeah, she do, aw yeah So  I don't do this shit for nothin', no, not at all, all I told her  I got it, oh, yeah So  I don't do this shit for nothin', not at all, from the ground up Hustle and motivate "
Artist,Title,URL,Lyrics
Nipsey Hussle,Blue Laces 2 by Nipsey Hussle,https://genius.com/Nipsey-hussle-blue-laces-2-lyrics," Oh, aw, baby, it's been so long Oh, aw, baby, it's been so long Mogul and they know that, logo on my floor mat Courtside,  Chamberlain throwback match my  Rolex Everywhere  I go, flex, valet park on some  Loc shit Whole lot of smoke in that ' Rari, that thang potent Burnin' rubber, wearin' cameras, they was undercovers Under pressure, made statements, turned on they brothers Never judge you, but the streets'll never love you I wonder what it come to in your brain for you to run to Ones that hate us, handcuff us and mace us Call us dumb niggas 'cause our culture is contagious Third-generation  South  Central gangbangers That lived long enough to see it changin' Think it's time we make arrangements Finally wiggle out they mazes Find me out in different places I'm the spook by the door, this the infiltration Double back dressed in blue laces Oh, aw, baby, it's been so long Oh, aw, baby, it's been so long"
Artist,Title,URL,Lyrics
Nipsey Hussle,Grinding All My Life by Nipsey Hussle,https://genius.com/Nipsey-hussle-grinding-all-my-life-lyrics," All my life, been grindin' all my life Sacrificed, hustled, paid the price Want a slice, got to roll the dice That's why all my life,  I been grindin' all my life, look All my life, been grindin' all my life  Sacrificed, hustled, paid the price  Want a slice, got to roll the dice That's why all my life,  I been grindin' all my life, look I'm married to this game, that's who  I made my wife Said  I'd die alone,  I told that bitch she probably right One thing that's for sure, not a stranger to this life Got a safe that's full of  Franklins and a shoulder full of stripes  Don't know a nigga like myself I say self-made meanin'  I designed myself County jail fades, you could pull my file yourself Spot raid, swallow rocks,  I'm gettin' high myself Look, and damn right,  I like the life  I built I'm from  Westside, 60, shit,  I might got killed Standin' so tall, they think  I might got stilts Legendary baller like  Mike, like  Wilt'96  Impala, thug life on wheels Up against the walls, squabble at  Fox  Hills Like a motherfuckin' boss, ask me how  I feel Successful street nigga touchin' them first mils "
Artist,Title,URL,Lyrics
Nipsey Hussle,Last Time That I Checc'd by Nipsey Hussle (Ft. YG),https://genius.com/Nipsey-hussle-last-time-that-i-checcd-lyrics," Last time that  I checked It was five chains on my neck It was no smut on my rep Last time that  I checked  I was sellin' zones in the set  Make a quarter mil' no sweat Last time that  I checked I'm the streets' voice out  West Legendary, self-made progress Last time that  I checked  First, you get the money, then respect Then the power and the hoes come next Last time that  I checked  I been self-made from the dribble I was been sayin'  I'ma kill em, look Playing no games with you niggas Pop clutch, switch lanes on you niggas, look I laid down the game for you niggas Taught you how to charge more than what they paid for you niggas Own the whole thing for you niggas Reinvest, double up, then explain for you niggas It gotta be love, who run the city?  It gotta be cuz This for the pieces  I took off the  Monopoly board And y'all niggas' false claims, it gotta be fraud Just keep the hood up out your mouth or you gotta be charged I doubled up, tripled up, nigga, what? Banged on the whole game,  I ain't give a fuck Nobody trippin', handled business, got my digits up And when  I drop, you know  I'm 'bout to fuck the city up"
Artist,Title,URL,Lyrics
Nipsey Hussle,Face the World by Nipsey Hussle,https://genius.com/Nipsey-hussle-face-the-world-lyrics," When all dreams seem to die The summer's gone, the breeze stops blowing The sun just leaves the sky Yeah Uh Yeah, this your life, you can play with it You make your bed, you gon' lay in it Do your thing, just be safe with it Triple bunks in the state prison Blue laces in my blue chucks I ain't never gave two fucks B E T  I chucked the hood up Asking if that nigga  Nip hood, what Like  I wouldn't take it to the back with you Same nigga walk the track with you Same nigga shot a strap with you Same nigga bought a sack with you Nineteen touchin' two birds Alpinas off a few swerves Grey leather in my white  Lincoln Shit smellin' like a new purse Two  C's on my bitch shit My money risin' like  Bisquick Six words help you get this Rich  Rapper  On  Some  Crip  Shit I prayed for blessings as a young nigga Not to learn the hard lessons of a drug dealer Triple life with a gang enhancement The judge triple white and he hate your blackness Slam the gavel with a racist passion Got you waitin' on appeals but your patience passin' All you've got to offer is a fight It's too late to run to  Christ once you caught up in this life Look"
Artist,Title,URL,Lyrics
